id,title,description,"item group id",link,"product type","google product category","image link",condition,availability,price,"sale price",mpn,brand,"canonical link","additional image link","additional image link","additional image link","additional image link","additional image link","identifier exists"
57,"Gold Lavender Sword","How am I supposed to fight?Don't jump!A screen which echoes the user's typing, displays text messages, contacts and more.While it is botanically a fruit, it is considered a vegetable for culinary purposes (as well as under U.S. customs regulations, see Nix v. Hedden), which has caused some confusion.These products may or may not maintain the nutritional integrity of the vegetable used to produce them.Escape is not his plan.What?!",57,http://localhost/website/corsivalab-exam/product/gold-lavender-sword/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Toy Figures &amp; Playsets > Chalk &amp; Chalkboards > Alarm Clocks",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872578-87038689.png,new,in_stock,"0.76  USD","0.76  USD",Corsivalab_27287,Localhost,http://localhost/website/corsivalab-exam/product/gold-lavender-sword/,,,,,,yes
55,"Shampoo Apple","What good is a reward if you ain't around to use it?A screen which echoes the user's typing, displays text messages, contacts and more.I'm surprised you had the courage to take the responsibility yourself.",55,http://localhost/website/corsivalab-exam/product/shampoo-apple/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Geography &amp; Globes > Military &amp; Rescue",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872578-1036542648.png,new,in_stock,"29.58  USD","29.58  USD",Corsivalab_93661,Localhost,http://localhost/website/corsivalab-exam/product/shampoo-apple/,,,,,,yes
53,"Fire Doll","The kind with looting and maybe starting a few fires!As you wish.The nose?The kind with looting and maybe starting a few fires!It's just like the story of the grasshopper and the octopus.Corrupti quos dolores et quas molestias excepturi sint occaecati.",53,http://localhost/website/corsivalab-exam/product/fire-doll/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Lighting &amp; Light Makers > Tennis",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872577-1539560004.png,new,in_stock,"25.52  USD","25.52  USD",,Localhost,http://localhost/website/corsivalab-exam/product/fire-doll/,,,,,,no
51,"Yellow Silver Smoothie","A number of processed food items available on the market contain vegetable ingredients and can be referred to as ""vegetable derived"" products.I want to know what happened to the plans they sent you.The MacBook Pro is a line of Macintosh portable computers introduced in January 2006 by Apple Inc., and now in its third generation.Itaque earum rerum hic tenetur a sapiente delectus.Why do you think that she is a witch?",51,http://localhost/website/corsivalab-exam/product/yellow-silver-smoothie/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Radio Control",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872577-853870585.png,new,in_stock,"51.56  USD","51.56  USD",Corsivalab_35464,Localhost,http://localhost/website/corsivalab-exam/product/yellow-silver-smoothie/,,,,,,yes
49,"Green Fire Mixer","It's more like ... suicide.Besides, these are adult stemcells, harvested from perfectly healthy adults whom I killed for their stemcells.The nose?",49,http://localhost/website/corsivalab-exam/product/green-fire-mixer/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Vehicles > Electronic > Wood Puzzles",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872577-995189646.png,new,in_stock,"49.14  USD","49.14  USD",Corsivalab_27285,Localhost,http://localhost/website/corsivalab-exam/product/green-fire-mixer/,,,,,,yes
47,Player,"I want to know what happened to the plans they sent you.While it is botanically a fruit, it is considered a vegetable for culinary purposes (as well as under U.S. customs regulations, see Nix v. Hedden), which has caused some confusion.Shut up and get to the point!Lorem Ipsum Dolor Sit AmetIt is a silly place.The Force is with him.",47,http://localhost/website/corsivalab-exam/product/player/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Tables > Accessories > Arcade Games",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872576-1721646324.png,new,in_stock,"84.29  USD","84.29  USD",Corsivalab_29855,Localhost,http://localhost/website/corsivalab-exam/product/player/,,,,,,yes
45,"Lotion HDMI","It's just like the story of the grasshopper and the octopus.While it is botanically a fruit, it is considered a vegetable for culinary purposes (as well as under U.S. customs regulations, see Nix v. Hedden), which has caused some confusion.Strange women lying in ponds distributing swords is no basis for a system of government.I want to know what happened to the plans they sent you.While their products leave much to be desired, Acme delivery service is second to none;Shut up and get to the point!As you wish.Why do you think that she is a witch?I need your help, Luke.",45,http://localhost/website/corsivalab-exam/product/lotion-hdmi/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,Vehicles,,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872576-1526641991.png,new,in_stock,"36.90  USD","36.90  USD",Corsivalab_36118,Localhost,http://localhost/website/corsivalab-exam/product/lotion-hdmi/,,,,,,yes
43,"Gold Purple Lime","What good is a reward if you ain't around to use it?What good is a reward if you ain't around to use it?Shut up and get to the point!Why do you think that she is a witch?Vegetables contain important nutrients necessary for healthy hair and skin as well.There's nothing for me here now.A number of processed food items available on the market contain vegetable ingredients and can be referred to as ""vegetable derived"" products.",43,http://localhost/website/corsivalab-exam/product/gold-purple-lime/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Viewfinders > Outdoor Furniture > Virtual Reality",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872576-921755204.png,new,in_stock,"16.61  USD","16.61  USD",Corsivalab_52348,Localhost,http://localhost/website/corsivalab-exam/product/gold-purple-lime/,,,,,,yes
41,"Large Wet","Some vegetables can be consumed raw, while some, such as cassava, must be cooked to destroy certain natural toxins or microbes in order to be edible.Individual GSM, WCDMA, iDEN and some satellite phone devices are uniquely identified by an International Mobile Equipment Identity (IMEI) number.Itaque earum rerum hic tenetur a sapiente delectus.Basic mobile phone services to allow users to make calls and send text messages.There's nothing for me here now.I need your help, Luke.The first generation iPhone was released on June 29, 2007; the most recent iPhones, the seventh-generation iPhone 5C and iPhone 5S, were introduced on September 10, 2013.It runs Apple's iOS mobile operating system.Obi-Wan is here.The kind with looting and maybe starting a few fires!",41,http://localhost/website/corsivalab-exam/product/large-wet/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Floor Games > Foreign Languages > Water Toys",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872575-1236995021.png,new,in_stock,"1.86  USD","1.86  USD",Corsivalab_84869,Localhost,http://localhost/website/corsivalab-exam/product/large-wet/,,,,,,yes
39,Shampoo,"The fruit is rich in lycopene, which may have beneficial health effects.In your time, yes, but nowadays shut up!Do eiusmod tempor incididunt ut labore et dolore magna aliqua.Nisi ut aliquid ex ea commodi consequatur?Sed ut perspiciatis unde omnis iste natus error sit voluptatem.These products may or may not maintain the nutritional integrity of the vegetable used to produce them.But with the blast shield down, I can't even see!",39,http://localhost/website/corsivalab-exam/product/shampoo/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Sports Figures > Cake Supplies > Gymnastics",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872575-1499247089.png,new,in_stock,"51.37  USD","51.37  USD",,Localhost,http://localhost/website/corsivalab-exam/product/shampoo/,,,,,,no
